Country Name,Country Code,Region,IncomeGroup,PPP Ratio (2024),Std Family Urban (Annual),Std Family Rural (Annual),Typical Fam Urban (Annual),Typical Fam Rural (Annual),Single Indiv Urban (Annual),Single Indiv Rural (Annual),Single Parent Urban (Annual),Single Parent Rural (Annual),Source,Median(LW),U/R Gap%(std fam),U/R Gap%(single parent),U/R Gap%(single individual),U/R Gap%(Typical Fam),(Sing parent burden% vs std fam(U))
Djibouti,DJI,Middle East & North Africa,Lower middle income,0.455,13689,7696,12803,7129,10075,5155,21384,11199,PPP Model,10637.0,77.87,90.95,95.44,79.59,56.21
Dominica,DMA,Latin America & Caribbean,Upper middle income,0.488,14719,8285,13680,7611,10946,5605,23025,12088,PPP Model,11517.0,77.66,90.48,95.29,79.74,56.43
Dominican Republic,DOM,Latin America & Caribbean,Upper middle income,0.395,16985,7719,16502,7612,12289,4984,27151,11060,Numbeo,11674.0,120.04,145.49,146.57,116.79,59.85
Ecuador,ECU,Latin America & Caribbean,Upper middle income,0.434,8374,5180,7621,4689,6220,3379,12831,7476,Numbeo,6848.0,61.66,71.63,84.08,62.53,53.22
"Egypt, Arab Rep.",EGY,Middle East & North Africa,Lower middle income,0.175,4209,2462,4468,2685,2830,1503,6403,3459,Numbeo,3144.0,70.96,85.11,88.29,66.41,52.13
El Salvador,SLV,Latin America & Caribbean,Upper middle income,0.421,12642,7098,11906,6636,9200,4703,19719,10299,PPP Model,9750.0,78.11,91.47,95.62,79.42,55.98
Equatorial Guinea,GNQ,Sub-Saharan Africa,Upper middle income,0.384,11522,6458,10939,6103,8275,4226,17939,9340,PPP Model,8808.0,78.41,92.07,95.81,79.24,55.69
Eritrea,ERI,Sub-Saharan Africa,Low income,0.0,9977,5581,9573,5349,7047,3595,15499,8037,Income Avg,7542.0,78.77,92.85,96.02,78.97,55.35
Estonia,EST,Europe & Central Asia,High income,0.624,16989,9677,15229,8435,12063,6283,26572,14122,Numbeo,13092.0,75.56,88.16,91.99,80.55,56.41
Eswatini,SWZ,Sub-Saharan Africa,Lower middle income,0.331,9917,5544,9538,5331,6971,3555,15396,7975,PPP Model,7473.0,78.88,93.05,96.09,78.92,55.25
Ethiopia,ETH,Sub-Saharan Africa,0,0.345,10330,5779,9901,5531,7304,3726,16049,8325,PPP Model,7814.0,78.75,92.78,96.03,79.01,55.36
Faroe Islands,FRO,Europe & Central Asia,High income,0.905,27559,15683,24256,13395,22408,11551,43634,23402,PPP Model,22905.0,75.73,86.45,93.99,81.08,58.33
Fiji,FJI,East Asia & Pacific,Upper middle income,0.416,12497,7014,11781,6567,9079,4641,19487,10174,PPP Model,9626.0,78.17,91.54,95.63,79.4,55.93
Finland,FIN,Europe & Central Asia,High income,0.816,21828,12799,19643,11224,16340,8866,33944,18685,Numbeo,17512.0,70.54,81.66,84.3,75.01,55.51
